time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/06 12:38:37.301398964,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.401925714,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.502330923,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.600850756,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.699899923,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.800333298,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:37.904873631,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.2947006,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.101649840,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.202159048,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.303330673,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.411434840,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.507333548,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.608365548,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.707982256,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.802122632,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:38.901881507,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.2820298,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.102130173,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.201881965,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.310496548,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.402567257,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.506896382,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.603986299,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.703830549,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.803756382,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:39.903735840,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.3922632,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.103324632,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.207182424,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.307297674,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.403292132,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.506277132,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.607893591,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.706674174,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.803616799,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:40.905514216,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.2678091,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.102171758,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.203586341,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.303155633,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.401958716,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.502710008,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.604558758,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.705044050,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.808336966,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:41.900942883,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.542008,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.101311591,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.202325550,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.308096467,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.402085467,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.502028842,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.603102050,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.711173050,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.806516508,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:42.905744800,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.712634,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.100187467,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.201543884,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.304182675,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.402996050,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.504792384,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.603138342,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.702415426,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.807715176,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:43.903628842,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.5969551,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.101767592,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.202070259,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.311655217,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.407374634,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.514503134,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.604961093,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.708175343,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.805619884,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:44.902510551,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.3422343,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.100188635,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.201266635,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.300103676,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.409811843,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.508551760,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.607445801,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.711926676,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.810752843,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:45.904743093,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:46.7752052,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:46.102078177,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:46.205050843,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:46.307313343,0,20.0,20.0,20.0,20.0
2025/08/06 12:38:46.404970760,0,20.0,20.0,20.0,20.0
