time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/06 20:22:42.111836720,0,18.0,18.0,16.0,16.0
2025/08/06 20:22:42.211292262,0,24.0,24.0,19.0,19.0
2025/08/06 20:22:42.311627845,0,30.0,30.0,22.0,22.0
2025/08/06 20:22:42.410268054,0,30.0,30.0,25.0,25.0
2025/08/06 20:22:42.516348345,0,30.0,30.0,28.0,28.0
2025/08/06 20:22:42.612432429,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:42.713663721,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:42.813534846,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:42.920188096,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.12484679,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.118556012,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.214125304,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.318487721,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.413810929,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.514976096,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.610814596,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.711360138,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.812591846,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:43.925351180,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.11873930,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.113817055,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.212778721,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.313871221,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.413372346,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.511096430,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.611359430,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.720708680,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.813422263,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:44.917273638,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.12110180,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.117446055,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.217073347,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.313425930,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.410373722,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.516452597,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.618094805,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.713968639,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.818753305,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:45.923014222,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.14518166,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.115016750,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.215216833,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.319330750,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.413372000,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.513282041,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.614979083,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.712163250,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.817458292,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:46.910772667,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.11355583,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.117302250,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.212343375,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.326356042,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.414267917,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.512420375,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.616516375,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.712100500,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.813426334,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:47.915453209,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.28696292,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.120907667,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.219763709,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.312607417,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.414563751,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.516641917,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.621103209,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.711572876,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.812361876,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:48.920736084,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.13755084,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.118700418,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.215503959,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.313370334,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.413912126,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.512280876,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.612960085,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.717047418,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.814422460,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:49.913768710,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.16454626,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.120282460,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.212968835,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.311902585,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.411689043,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.512906877,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.621532335,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.718883627,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.814142585,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:50.926516294,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.12893669,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.123328835,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.219255460,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.312556044,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.410884210,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.522236877,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.613671669,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.715470211,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.812700627,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:51.927915211,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.10263752,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.113217377,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.211100169,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.313214044,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.416094961,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.519743919,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.618771586,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.715170836,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.813308461,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:52.915931169,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.12872920,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.112997545,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.213582086,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.317033420,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.420277045,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.512257128,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.611263586,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.712069128,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.812764170,0,30.0,30.0,30.0,30.0
2025/08/06 20:22:53.912806670,0,30.0,30.0,30.0,30.0
