time,tick_secs,tick_nsecs,status,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5
2025/08/06 20:22:52.716287794,1754479372,716089586,041,-5.481376647949219,6.025084018707275,0.0,0.0,0.0,-2.890596866607666,1.2265385389328003,0.8728110194206238,0.0,0.0,0.0,0.37659984827041626
2025/08/06 20:22:52.750838961,1754479372,750414794,041,-5.481376647949219,6.025084018707275,0.0,0.0,0.0,-2.890596866607666,1.2265385389328003,0.8728110194206238,0.0,0.0,0.0,0.37659984827041626
2025/08/06 20:22:52.814445836,1754479372,814049044,041,-5.578509330749512,5.910074234008789,0.0,0.0,0.0,-2.8529367446899414,1.2272813320159912,0.8728110194206238,0.0,0.0,0.0,0.37661463022232056
2025/08/06 20:22:52.852269211,1754479372,851928378,041,-5.578509330749512,5.910074234008789,0.0,0.0,0.0,-2.8529367446899414,1.2272813320159912,0.8728110194206238,0.0,0.0,0.0,0.37661463022232056
2025/08/06 20:22:52.917597128,1754479372,917240794,041,-5.671314239501953,5.791468143463135,0.0,0.0,0.0,-2.815275192260742,1.227999210357666,0.8728110194206238,0.0,0.0,0.0,0.3766283690929413
2025/08/06 20:22:52.951159503,1754479372,950588420,041,-5.671314239501953,5.791468143463135,0.0,0.0,0.0,-2.815275192260742,1.227999210357666,0.8728110194206238,0.0,0.0,0.0,0.3766283690929413
2025/08/06 20:22:53.14457545,1754479373,14142878,041,-5.759654998779297,5.66942834854126,0.0,0.0,0.0,-2.7776124477386475,1.2286931276321411,0.8728110194206238,0.0,0.0,0.0,0.376641184091568
2025/08/06 20:22:53.56665961,1754479373,51746295,041,-5.759654998779297,5.66942834854126,0.0,0.0,0.0,-2.7776124477386475,1.2286931276321411,0.8728110194206238,0.0,0.0,0.0,0.376641184091568
2025/08/06 20:22:53.114378628,1754479373,114103961,041,-5.843403339385986,5.544124603271484,0.0,0.0,0.0,-2.739948272705078,1.2293636798858643,0.8728110194206238,0.0,0.0,0.0,0.37665310502052307
2025/08/06 20:22:53.150462253,1754479373,150108128,041,-5.843403339385986,5.544124603271484,0.0,0.0,0.0,-2.739948272705078,1.2293636798858643,0.8728110194206238,0.0,0.0,0.0,0.37665310502052307
2025/08/06 20:22:53.215116128,1754479373,214861586,041,-5.922435283660889,5.415729522705078,0.0,0.0,0.0,-2.7022831439971924,1.2300117015838623,0.8728110194206238,0.0,0.0,0.0,0.3766641914844513
2025/08/06 20:22:53.250952003,1754479373,250416420,041,-5.922435283660889,5.415729522705078,0.0,0.0,0.0,-2.7022831439971924,1.2300117015838623,0.8728110194206238,0.0,0.0,0.0,0.3766641914844513
2025/08/06 20:22:53.318449420,1754479373,318155961,041,-5.9966349601745605,5.284421920776367,0.0,0.0,0.0,-2.664616584777832,1.230638027191162,0.8728110194206238,0.0,0.0,0.0,0.37667450308799744
2025/08/06 20:22:53.351093086,1754479373,350567336,041,-5.9966349601745605,5.284421920776367,0.0,0.0,0.0,-2.664616584777832,1.230638027191162,0.8728110194206238,0.0,0.0,0.0,0.37667450308799744
2025/08/06 20:22:53.421805920,1754479373,421458545,041,-6.065892696380615,5.150384426116943,0.0,0.0,0.0,-2.6269490718841553,1.2312432527542114,0.8728110194206238,0.0,0.0,0.0,0.37668412923812866
2025/08/06 20:22:53.453471336,1754479373,450740420,041,-6.065892696380615,5.150384426116943,0.0,0.0,0.0,-2.6269490718841553,1.2312432527542114,0.8728110194206238,0.0,0.0,0.0,0.37668412923812866
2025/08/06 20:22:53.513822336,1754479373,513553920,041,-6.1301069259643555,5.013803958892822,0.0,0.0,0.0,-2.589280843734741,1.231828212738037,0.8728110194206238,0.0,0.0,0.0,0.37669306993484497
2025/08/06 20:22:53.557158211,1754479373,551954295,041,-6.1301069259643555,5.013803958892822,0.0,0.0,0.0,-2.589280843734741,1.231828212738037,0.8728110194206238,0.0,0.0,0.0,0.37669306993484497
2025/08/06 20:22:53.612154670,1754479373,611963545,041,-6.189181327819824,4.874871730804443,0.0,0.0,0.0,-2.5516114234924316,1.2323936223983765,0.8728110194206238,0.0,0.0,0.0,0.37670138478279114
2025/08/06 20:22:53.652287003,1754479373,651945920,041,-6.189181327819824,4.874871730804443,0.0,0.0,0.0,-2.5516114234924316,1.2323936223983765,0.8728110194206238,0.0,0.0,0.0,0.37670138478279114
2025/08/06 20:22:53.713213545,1754479373,712983628,041,-6.2430291175842285,4.733781814575195,0.0,0.0,0.0,-2.5139412879943848,1.2329399585723877,0.8728110194206238,0.0,0.0,0.0,0.37670913338661194
2025/08/06 20:22:53.750252545,1754479373,749987212,041,-6.2430291175842285,4.733781814575195,0.0,0.0,0.0,-2.5139412879943848,1.2329399585723877,0.8728110194206238,0.0,0.0,0.0,0.37670913338661194
2025/08/06 20:22:53.813920753,1754479373,813678420,041,-6.291568756103516,4.590732097625732,0.0,0.0,0.0,-2.4762704372406006,1.2334680557250977,0.8728110194206238,0.0,0.0,0.0,0.37671634554862976
2025/08/06 20:22:53.852880087,1754479373,852474003,041,-6.291568756103516,4.590732097625732,0.0,0.0,0.0,-2.4762704372406006,1.2334680557250977,0.8728110194206238,0.0,0.0,0.0,0.37671634554862976
2025/08/06 20:22:53.914360253,1754479373,914163295,041,-6.334728240966797,4.4459228515625,0.0,0.0,0.0,-2.438598871231079,1.2339783906936646,0.8728110194206238,0.0,0.0,0.0,0.3767230808734894
2025/08/06 20:22:53.952779503,1754479373,952423378,041,-6.334728240966797,4.4459228515625,0.0,0.0,0.0,-2.438598871231079,1.2339783906936646,0.8728110194206238,0.0,0.0,0.0,0.3767230808734894
2025/08/06 20:22:54.23636212,1754479374,23365295,041,-6.37244176864624,4.299557685852051,0.0,0.0,0.0,-2.400926351547241,1.2344715595245361,0.8728110194206238,0.0,0.0,0.0,0.3767293095588684
2025/08/06 20:22:54.51123587,1754479374,50869503,041,-6.37244176864624,4.299557685852051,0.0,0.0,0.0,-2.400926351547241,1.2344715595245361,0.8728110194206238,0.0,0.0,0.0,0.3767293095588684
2025/08/06 20:22:54.125593087,1754479374,124234045,041,-6.404653072357178,4.151843070983887,0.0,0.0,0.0,-2.363253593444824,1.2349482774734497,0.8728110194206238,0.0,0.0,0.0,0.376735121011734
2025/08/06 20:22:54.150928087,1754479374,150614503,041,-6.404653072357178,4.151843070983887,0.0,0.0,0.0,-2.363253593444824,1.2349482774734497,0.8728110194206238,0.0,0.0,0.0,0.376735121011734
2025/08/06 20:22:54.213601170,1754479374,213451170,041,-6.431311130523682,4.002986431121826,0.0,0.0,0.0,-2.32558012008667,1.235408902168274,0.8728110194206238,0.0,0.0,0.0,0.37674054503440857
2025/08/06 20:22:54.250895670,1754479374,250485920,041,-6.431311130523682,4.002986431121826,0.0,0.0,0.0,-2.32558012008667,1.235408902168274,0.8728110194206238,0.0,0.0,0.0,0.37674054503440857
2025/08/06 20:22:54.317766587,1754479374,317486128,041,-6.452375888824463,3.8531978130340576,0.0,0.0,0.0,-2.2879059314727783,1.235854148864746,0.8728110194206238,0.0,0.0,0.0,0.3767455816268921
2025/08/06 20:22:54.350557587,1754479374,350187712,041,-6.452375888824463,3.8531978130340576,0.0,0.0,0.0,-2.2879059314727783,1.235854148864746,0.8728110194206238,0.0,0.0,0.0,0.3767455816268921
2025/08/06 20:22:54.417105420,1754479374,416945920,041,-6.467812538146973,3.702688694000244,0.0,0.0,0.0,-2.2502315044403076,1.2362843751907349,0.8728110194206238,0.0,0.0,0.0,0.37675029039382935
