time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/06 13:43:37.678550757,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:37.783386548,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:37.878657923,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:37.979053007,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.87070757,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.185518840,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.282250424,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.378944507,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.478823799,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.578719049,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.679862424,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.787363466,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.879375799,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:38.978890841,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.86391174,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.180727591,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.287134299,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.387985799,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.488226174,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.585651424,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.683731883,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.786867966,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.884254424,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:39.983528299,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.79383883,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.180540425,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.280964716,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.385530300,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.484232633,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.584032133,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.684373341,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.791126258,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.886101758,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:40.986179342,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.85436092,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.181738008,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.280134883,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.383617967,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.488968342,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.580575967,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.682402592,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.782022217,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.878358384,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:41.983552550,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.82622925,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.187465467,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.281673717,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.384413384,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.481546842,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.587063592,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.684291176,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.785438592,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.878685718,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:42.980245884,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.81081343,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.185474259,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.285827551,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.382668884,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.484810718,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.596479218,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.684025676,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.784541426,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.879086343,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:43.982319968,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.86680093,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.183554301,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.284160927,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.380734968,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.486105802,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.589469885,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.680682718,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.784866552,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.885342385,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:44.988710469,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.79301469,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.184659677,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.280338177,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.385159635,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.484397760,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.586254010,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.679452802,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.780907802,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.882487761,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:45.984969802,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.84255427,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.184301469,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.285621886,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.385057386,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.487150553,0,20.0,20.0,20.0,20.0
2025/08/06 13:43:46.580473594,0,20.0,20.0,20.0,20.0
