time,tick_secs,tick_nsecs,status,pose_0,pose_1,pose_2,vel_0,vel_1,vel_2
2025/08/05 14:32:20.392044634,1754371940,391897425,041,0.050217170268297195,-0.003422696841880679,0.0026351239066570997,0.36408731341362,-0.0335359126329422,0.021462956443428993
2025/08/05 14:32:20.454741801,1754371940,454551801,041,0.050217170268297195,-0.003422696841880679,0.0026351239066570997,0.36408731341362,-0.0335359126329422,0.021462956443428993
2025/08/05 14:32:20.493352884,1754371940,493197592,041,0.08663461357355118,-0.00668033491820097,0.004781419411301613,0.4741414189338684,-0.04813846945762634,0.02701680362224579
2025/08/05 14:32:20.555831592,1754371940,555597259,041,0.08663461357355118,-0.00668033491820097,0.004781419411301613,0.4741414189338684,-0.04813846945762634,0.02701680362224579
2025/08/05 14:32:20.593978134,1754371940,593786717,041,0.1340712308883667,-0.011267420835793018,0.007483100052922964,0.5829081535339355,-0.064377561211586,0.032110217958688736
2025/08/05 14:32:20.656350384,1754371940,656028092,041,0.1340712308883667,-0.011267420835793018,0.007483100052922964,0.5829081535339355,-0.064377561211586,0.032110217958688736
2025/08/05 14:32:20.695525009,1754371940,695281259,041,0.19240859150886536,-0.01726880483329296,0.010694121941924095,0.62462317943573,0.044990792870521545,0.03653417155146599
2025/08/05 14:32:20.755648926,1754371940,755378384,041,0.19240859150886536,-0.01726880483329296,0.010694121941924095,0.62462317943573,0.044990792870521545,0.03653417155146599
2025/08/05 14:32:20.794073717,1754371940,793885676,041,0.25481921434402466,-0.012102016247808933,0.014347539283335209,0.6638167500495911,0.1328500360250473,0.04159364104270935
2025/08/05 14:32:20.856543842,1754371940,856284217,041,0.25481921434402466,-0.012102016247808933,0.014347539283335209,0.6638167500495911,0.1328500360250473,0.04159364104270935
2025/08/05 14:32:20.892680551,1754371940,892511842,041,0.3210034668445587,0.0021340015809983015,0.01850690320134163,0.7005592584609985,0.205413818359375,0.047280389815568924
2025/08/05 14:32:20.958729842,1754371940,956400592,041,0.3210034668445587,0.0021340015809983015,0.01850690320134163,0.7005592584609985,0.205413818359375,0.047280389815568924
2025/08/05 14:32:20.997169467,1754371940,996955009,041,0.39066725969314575,0.02396830916404724,0.02323494292795658,0.7349191904067993,0.2671007215976715,0.05358695611357689
2025/08/05 14:32:21.54947842,1754371941,54691842,041,0.39066725969314575,0.02396830916404724,0.02323494292795658,0.7349191904067993,0.2671007215976715,0.05358695611357689
2025/08/05 14:32:21.93117967,1754371941,92970134,041,0.46351879835128784,0.05237859860062599,0.02859363704919815,0.7669634819030762,0.3210529386997223,0.06050657853484154
2025/08/05 14:32:21.154986301,1754371941,154748176,041,0.46351879835128784,0.05237859860062599,0.02859363704919815,0.7669634819030762,0.3210529386997223,0.06050657853484154
2025/08/05 14:32:21.200209259,1754371941,199988051,041,0.5392659306526184,0.08666349947452545,0.034644294530153275,0.7967571020126343,0.3695048689842224,0.0680331140756607
2025/08/05 14:32:21.258457593,1754371941,257123301,041,0.5392659306526184,0.08666349947452545,0.034644294530153275,0.7967571020126343,0.3695048689842224,0.0680331140756607
2025/08/05 14:32:21.295017176,1754371941,294506843,041,0.6176139116287231,0.12635156512260437,0.041447605937719345,0.8243634700775146,0.41404545307159424,0.07616100460290909
2025/08/05 14:32:21.355167926,1754371941,354808093,041,0.6176139116287231,0.12635156512260437,0.041447605937719345,0.8243634700775146,0.41404545307159424,0.07616100460290909
2025/08/05 14:32:21.393728551,1754371941,393435301,041,0.6982638835906982,0.17113636434078217,0.04906370863318443,0.8498444557189941,0.45580464601516724,0.08488517254590988
2025/08/05 14:32:21.455164051,1754371941,454906343,041,0.6982638835906982,0.17113636434078217,0.04906370863318443,0.8498444557189941,0.45580464601516724,0.08488517254590988
2025/08/05 14:32:21.495545301,1754371941,495239218,041,0.7809106111526489,0.22082996368408203,0.05755222588777542,0.8732600212097168,0.49558591842651367,0.09420103579759598
2025/08/05 14:32:21.560406051,1754371941,558515343,041,0.7809106111526489,0.22082996368408203,0.05755222588777542,0.8732600212097168,0.49558591842651367,0.09420103579759598
2025/08/05 14:32:21.599601343,1754371941,599382593,041,0.8652413487434387,0.2753295302391052,0.06697233021259308,0.8946689367294312,0.5339607000350952,0.10410439223051071
2025/08/05 14:32:21.658718593,1754371941,657581051,041,0.8652413487434387,0.2753295302391052,0.06697233021259308,0.8946689367294312,0.5339607000350952,0.10410439223051071
2025/08/05 14:32:21.699287509,1754371941,699063926,041,0.9509342908859253,0.3345932364463806,0.07738276571035385,0.9141281247138977,0.5713352560997009,0.11459144204854965
2025/08/05 14:32:21.761748718,1754371941,760725551,041,0.9509342908859253,0.3345932364463806,0.07738276571035385,0.9141281247138977,0.5713352560997009,0.11459144204854965
2025/08/05 14:32:21.794587926,1754371941,794355134,041,1.0376567840576172,0.3986224830150604,0.08884191513061523,0.9316932559013367,0.6079985499382019,0.12565872073173523
2025/08/05 14:32:21.861682635,1754371941,859545093,041,1.0376567840576172,0.3986224830150604,0.08884191513061523,0.9316932559013367,0.6079985499382019,0.12565872073173523
2025/08/05 14:32:21.895868968,1754371941,895631968,041,1.1250642538070679,0.46744900941848755,0.10140778124332428,0.9474183320999146,0.6441560387611389,0.13730305433273315
2025/08/05 14:32:21.955827135,1754371941,955535093,041,1.1250642538070679,0.46744900941848755,0.10140778124332428,0.9474183320999146,0.6441560387611389,0.13730305433273315
2025/08/05 14:32:21.998503926,1754371941,998220426,041,1.2127982378005981,0.5411248207092285,0.11513809114694595,0.9613560438156128,0.6799538731575012,0.1495215892791748
